event_no,central_date
1,1958-01-30
2,1960-01-17
3,1963-01-30
4,1965-12-18
5,1966-02-23
6,1968-01-07
7,1968-11-29
8,1970-01-02
9,1971-01-18
10,1971-03-20
11,1973-01-31
12,1977-01-09
13,1979-02-22
14,1980-02-29
15,1981-02-06
16,1981-03-04
17,1981-12-04
18,1984-02-24
19,1985-01-01
20,1987-01-23
21,1987-12-08
22,1988-03-14
23,1989-02-21
24,1998-12-15
25,1999-02-26
26,2000-03-20
27,2001-02-11
28,2001-12-31
29,2003-01-18
30,2004-01-05
31,2006-01-21
32,2007-02-24
33,2008-02-22
34,2009-01-24
35,2010-02-09
36,2010-03-24
37,2013-01-07
38,2018-02-12
39,2019-01-02
40,2021-01-05
41,2023-02-16
